study_section,n_projects,pct_of_matched,FY2015,FY2016,FY2017,FY2018,FY2019,FY2020,FY2021,FY2022,FY2023
Special Emphasis Panel[ZRG1-CNBT-W(07)S],3,0.1,0,0,0,0,0,0,0,2,1
Special Emphasis Panel[ZRG1-MDCN-P(57)R],3,0.1,0,0,0,0,0,0,0,2,1
Special Emphasis Panel[ZRG1-BDCN-E(03)],3,0.1,0,0,0,0,0,0,0,1,2
"Electrical Signaling, Ion Transport, and Arrhythmias Study Section[ESTA]",3,0.1,0,0,0,0,0,0,0,2,1
Special Emphasis Panel[ZRG1-DKUS-H(06)],3,0.1,0,0,0,0,0,0,0,2,1
Special Emphasis Panel[ZRG1-BST-J(70)R],3,0.1,0,0,0,0,0,0,0,1,2
Hemostasis and Thrombosis Study Section.  Committee was terminated on 11/30/2020. [HT],3,0.1,0,0,0,0,0,0,0,2,1
Special Emphasis Panel[ZRG1 EMNR-B (02)],3,0.1,0,0,0,0,0,0,0,2,1
Special Emphasis Panel[ZRG1 BBBT-J (83)],3,0.1,0,0,0,0,0,0,0,0,3
"Neurological, Aging and Musculoskeletal Epidemiology Study Section[NAME]",3,0.1,0,0,0,0,0,0,0,2,1
Cancer Cell Biology Study Section[CCB],3,0.1,0,0,0,0,0,0,0,0,3
Drug Discovery and Molecular Pharmacology C Study Section[DMPC],3,0.1,0,0,0,0,0,0,0,0,3
Special Emphasis Panel[ZRG1 VH-C (02)],3,0.1,0,0,0,0,0,0,0,2,1
Clinical Informatics and Digital Health Study Section[CIDH],3,0.1,0,0,0,0,0,0,0,1,2
Gene Regulation in Cancer Study Section[GRIC],3,0.1,0,0,0,0,0,0,0,0,3
"Advancing Therapeutics A Study Section
[ATA]",3,0.1,0,0,0,0,0,0,0,0,3
Special Emphasis Panel[ZRG1 EMNR-S (55)],3,0.1,0,0,0,0,0,0,0,2,1
Special Emphasis Panel[ZRG1-OBT-B(02)M],3,0.1,0,0,0,0,0,0,0,2,1
AIDS Immunology and Pathogenesis Study Section[AIP],3,0.1,0,0,0,0,0,0,1,1,1
Musculoskeletal Rehabilitation Sciences Study Section[MRS],3,0.1,0,0,0,0,0,0,0,2,1
Special Emphasis Panel[ZRG1 IDIB-J (02)],3,0.1,0,0,0,0,0,0,0,3,0
Special Emphasis Panel[ZDK1 GRB-G (M3)],3,0.1,0,0,0,0,0,0,0,3,0
